layer,train_acc,test_acc,embedding_dim
0,0.17079798476138605,0.04775932540413153,768
1,0.2785694410732152,0.07545016017969584,768
2,0.35569790365454407,0.10914313068453806,768
3,0.396541414811175,0.1228412563979821,768
4,0.428705901854801,0.13815959052914534,768
5,0.47858364957108096,0.16187355009758073,768
6,0.5397038712236477,0.1995802187281364,768
7,0.5910379899711686,0.2282284493868984,768
8,0.6991350576924216,0.2884339212726001,768
9,0.8109440954811057,0.3409802260927201,768
10,0.9446638210202886,0.42018632396803773,768
11,0.9966314019643249,0.5077144014434584,768
